feature,score
FOR100_LAG0_log_lag,23
L1_S24_F1463,23
L0_S22_F0561,23
L0_S14_D0360,23
L1_S24_F1567,23
L3_S29_F3388,23
BAC165_LAG1_Count_Mult_ResponseMinus1,23
FOR100_LAG_Count_Mult_ResponseMinus1,23
S44_min,23
L2_S27_F3140,23
L2_S27_F3133,23
L3_S29_F3467,22
L0_S23_F0651,22
L3_S30_F3559,22
DATE_S0_max,22
L1_S24_F1783,22
L1_S25_F2051,22
L1_S24_D1583,22
L0_S22_F0591,22
L3_S30_F3539,22
L0_S23_F0671,22
L0_Unique_Count,22
L1_S24_F1599_leak1,22
L0_S7_F142,22
L0_S16_D0423,22
S38_min,22
L0_S9_F165,22
L1_S25_F1992,22
L0_S17_F0431,22
L3_S36_F3938,22
L0_S9_F170,21
L1_S24_F1844_leak2,21
L3_S29_F3455,21
L3_L3_Missing_Value_Count,21
L1_S25_F2046,21
L3_S32_F3850_seqId,20
L3_S30_F3649,20
L3_S30_F3549,20
L1_S24_F1768_leak1,20
L0_S9_F155,20
L0_S02_F0060,20
S06_min,20
L0_S15_F0403,20
L0_S23_F0643,20
L1_S24_F1816,20
L1_S24_F1516_leak1,20
L1_S24_F1250,20
L1_S24_F1783_leak1,20
S16_num_min,20
L0_S11_F306,20
L1_S24_F1567_leak1,20
L1_S24_F1808,20
L3_S29_F3452,19
L0_S03_F0084,19
L0_S22_F0576,19
S19_num_mean,19
L3_S30_F3529,19
L0_S10_F0234,19
L3_S29_F3404,19
L1_S24_F1637,19
L0_S10_F0224,19
L1_S24_F1569_leak1,19
L0_S18_F0449,19
L1_S24_F1728,19
L1_S25_F1997,19
L3_S40_F3982,19
FOR100_LAG0_Count_Mult_ResponseMinus1,19
L0_S0_F0,19
FOR165_LAG0_log_lag,19
L0_S15_F0418,19
sameL2,19
L0_S02_F0048,19
BAC165_LAG1_log_lag,18
BAC165_LAG0_log_lag,18
L0_S15_F406,18
L0_S14_F0362,18
BAC100_LAG0_log_lag,18
S16_num_max,18
L3_S35_F3894,18
S18_num_max,18
L0_S22_F0551,18
S15_num_interval,18
L1_S24_F1818,18
L1_S24_F1831_leak1,18
L0_S12_F0342,18
FOR100_LAG2_Count_Mult_ResponseMinus1,17
L0_S09_F0200,17
L1_S24_F1803_leak2,17
s323334_9,17
L1_S25_F2111,17
S17_num_min,17
L0_S12_F350,17
L1_S24_F1685_leak2,17
CATEGORICAL_Max______3,17
L0_S22_F0606,17
L0_S15_F0397,17
L0_S9_F210,17
L1_S24_F1544_leak1,17
L0_S23_F0631,17
S16_num_interval,17
L1_S24_F1822,16
L0_S13_F354,16
L0_S12_F0334,16
L0_S14_F0390,16
L1_S24_F1848_leak1,16
L0_S11_F286,16
L1_S24_F1768_leak2,16
L0_S22_F0611,16
L0_S00_F0022,16
L0_S09_F0210,16
L0_S4_F104,16
L1_S24_F1512_leak1,16
S16_num_mean,16
L1_S24_F1573_leak1,16
L1_S24_D1522,16
S45_num_min,16
BAC100_LAG1_Count_Mult_ResponseMinus1,16
L0_S07_D0137,16
L3_S29_F3367,15
L0_S6_F122,15
L1_S24_F1490,15
S19_num_min,15
CATEGORICAL_Last_____2,15
L1_S24_F1326,15
L0_S11_F0290,15
L0_S21_F0522,15
L1_S24_F1494_leak1,15
BAC165_LAG_Count_Mult_ResponseMinus1,15
L1_S24_F1738,15
L1_S24_F1685,15
L1_S24_F1573_leak2,15
L0_S22_F0596,15
L0_S7_F138,15
L1_S24_F1637_leak1,14
L1_S24_F1520_leak1,14
S27_num_max,14
S45_num_interval,14
S19_min,14
BAC100_LAG1_log_lag,14
L1_S24_F1539_leak1,14
S17_max,14
DATE_S29max,14
L0_S10_F249,14
L1_S25_F2016,14
S05_min,14
L0_S10_F219,14
DATE_S3_max,14
FOR100_LAG3_Count_Mult_ResponseMinus1,14
L1_S24_F1829_leak1,14
L1_S24_F1733_leak1,14
L1_S24_F1846_leak1,13
L0_S13_D0355,13
L1_S24_F1846_leak2,13
S21_num_min,13
S15_num_min,13
S38_num_mean,13
L0_S09_F0175,13
L3_S38_F3956,13
L1_S25_F1858,13
L2_S27_F3144,13
L0_S12_F0336,13
L1_S24_F1594,13
L1_S24_F0988,13
L0_S18_F0439,13
L1_S24_F1753,13
L0_S4_F109,13
L0_S9_F190,13
L0_S21_F0512,13
L1_S24_F1753_leak2,13
L0_S16_F0421,12
L1_S24_F1609,12
DATE_S37max,12
L3_S48_F4196,12
L3_S47_F4163,12
L1_S24_D1809,12
L1_S24_F1166_leak1,12
S08_num_min,12
S18_num_min,12
L0_S23_F0627,12
L0_S10_F0229,12
L0_S14_F0374,12
S15_num_mean,12
L3_S29_F3354_Response_1,12
L0_S3_F84,12
L1_S24_F1567_leak2,12
L1_S24_F1718,12
L0_S0_F2,12
L1_S24_F1569_leak2,12
L1_S25_F2147,12
L1_S24_F1366,12
L1_S24_F1836_leak1,11
L0_S02_D0034,11
L0_S00_F0012,11
L1_S24_F1695_leak1,11
L0_S5_F116,11
L3_S29_F3354_Response_2,11
L0_S21_F0502,11
L1_S24_F1793_leak1,11
S11_min,11
DATE_S33max,11
S41_num_mean,11
L1_S24_F1520,11
S22_num_min,11
L1_S24_F1506,11
L1_S24_F1788_leak1,11
L1_S24_F1662_leak1,11
L0_S19_F0455,11
L0_S12_F0330,11
L3_S47_F4158,10
L1_S25_F1892,10
L1_S25_F2036,10
L1_S24_F1808_leak1,10
L1_S25_F2155,10
S50_num_mean,10
L1_S25_F2176,10
FOR100_LAG_Sum_ResponseMinus1,10
L0_S21_F0472,10
L1_S24_F1652_leak1,10
DATE_S4_max,10
L1_S24_D1511,10
L0_S10_F224,10
L1_S24_F1599,10
L0_S9_F200,10
S15_num_max,9
L1_S24_F1728_leak1,9
L1_S24_D1674,9
S43_num_mean,9
L1_S24_D0677,9
L2_L2_Unique_Count,9
L1_S24_F1571_leak2,9
L0_S9_F160,9
S24_max,9
Min,9
S22_num_mean,9
L3_S41_F4020,9
L3_S29_F3360,9
DATE_L0min,9
L3_S49_F4211,9
L0_S10_F274,9
L1_S24_F1848_leak2,9
L1_S24_F1829_leak2,9
L1_S24_F1778_leak2,9
L0_S22_F0586,9
L0_S11_F318,9
L1_S24_F1758_leak1,8
L0_S22_F551,8
L1_S24_F1713,8
L1_S24_F1667_leak2,8
L1_S24_F1700_leak1,8
S15_min,8
L1_S24_F1672_leak1,8
S14_num_min,8
L0_S21_F0532,8
S40_num_interval,8
L1_S24_F1814,8
L3_S40_F3986,8
L1_S24_F1581_leak1,8
L0_S22_F596,8
L1_S24_F1130_leak1,8
L1_S24_F1743_leak1,8
CATEGORICAL_out_L3_S32_F3854_class1,8
L1_S24_F1652_leak2,8
L0_S12_F0338,8
L0_S23_F0623,8
L1_S25_F1978,7
L0_S00_F0004,7
L1_S25_F2106,7
L1_S25_F1938,7
S10_min,7
L0_S00_F0006,7
S40_num_mean,7
L0_S23_F623,7
L1_S24_F1544_leak2,7
L0_S18_F439,7
L3_S33_F3861,7
L3_S36_F3918,7
L3_S47_F4138,7
L1_S24_F1822_leak2,7
DATE_L3min,7
DATE_S35max,7
L1_S24_F1820,7
L0_S0_F8,7
L3_S29_F3421,7
DATE_S34max,7
S24_time,7
L1_Unique_Count,7
L0_S21_F0517,6
BAC165_LAG1_Sum_ResponseMinus1,6
L0_S11_F0298,6
L0_S23_F0663,6
S40_num_min,6
L1_S24_F0882_leak1,6
L0_S16_F0426,6
L1_S24_F1824,6
L1_S24_F1518_leak2,6
L0_S23_D0617,6
L3_S41_F4014,6
L1_S24_F1748,6
S21_min,6
FOR165_LAG_Sum_ResponseMinus1,6
L3_S44_F4115,6
L0_S21_F487,6
L0_S2_F40,6
L1_S24_F1690,6
L3_S47_F4143,6
L0_S12_F346,6
L1_S24_F1840_leak2,5
FOR165_LAG2_Sum_ResponseMinus1,5
S06_num_max,5
L0_S12_F340,5
L0_S21_F0492,5
L1_S24_F1539,5
L1_S24_F1642,5
DATE_S1_max,5
DATE_S8_max,5
L1_S24_F1569,5
L1_S24_F1842_leak2,5
L0_S21_F0527,5
L1_S25_F1885,5
L1_S24_F1604_leak2,5
L1_S25_F2158,5
L3_S29_F3424,5
L0_S23_F0619,5
L0_S0_F14,5
L1_S24_F1763_leak2,5
L1_S24_F1763_leak1,5
L1_S25_D1902,5
S43_num_interval,5
L3_S41_F4011,5
L1_S24_F1810,5
S43_min,5
L1_S25_F1869,5
S32_num_max,4
L1_S24_F1270,4
L1_S24_F1840_leak1,4
DATE_S30min,4
L1_S24_F1818_leak2,4
L1_S24_F1667_leak1,4
S21_num_mean,4
L0_S12_F0344,4
L1_S25_F2071,4
L1_S24_F1578_leak2,4
L1_S24_F1773_leak1,4
L1_S24_F1657_leak1,4
