feature,score
FOR165_LAG3_Count_Mult_ResponseMinus1,35
sameL1_prev,35
S16,35
BAC100_LAG2_Count_Mult_ResponseMinus1,35
L0_S10_F224,35
DATE_S16max,35
L1_S24_F1803,35
L3_S45_F4124,34
S24.304,34
L0_S12_F346,34
DATE_S27max,34
L2_S27_F3162,34
S24.305,34
L0_S21_F487,34
DATE_S15max,34
L0_S10_F264,34
S48,34
S24.101,34
L0_S22_F556,33
L0_S9_F210,33
BAC165_LAG_Count_Mult_ResponseMinus1,33
L0_S23_F667,33
L0_S11_F314,33
tdeltadevrel_block1,33
L1_S24_F1672,32
S25.107,32
L1_S24_F1848,32
S15,32
L1_S24_F1544,32
L2_S27_F3144,32
L2_S27_F3133,32
L0_S22_F576,31
L2_S27_F3214,31
S23,31
L0_S22_F561,31
d_30.0,31
Max,31
FOR165_LAG3_Sum_ResponseMinus1,31
L0_Unique_Count,31
d_36.0,31
BAC100_LAG_Count_Mult_ResponseMinus1,31
L1_S24_F1816,31
L0_S19_F455,30
L0_S14_F386,30
FOR100_LAG1_Count_Mult_ResponseMinus1,30
L1_S24_F1622,30
FOR100_LAG2_Count_Mult_ResponseMinus1,29
L3_S30_F3649,29
S25.101,29
S25.104,29
L0_S21_F522,28
L1_S24_F1498,28
S19,28
FOR100_LAG0_Count_Mult_ResponseMinus1,28
DATE_S23max,28
L1_S24_F1793,28
S40,28
DATE_S20max,28
L1_S24_F1463,27
L0_S9_F160,27
FOR165_LAG0_Count_Mult_ResponseMinus1,27
L0_S23_F671,27
S33min_S34min,27
FOR165_LAG1_Count_Mult_ResponseMinus1,27
L0_S12_F334,26
L0_S15_F418,26
L1_Range,25
L1_S24_F1609,25
L0_S14_F362,25
d_rel_d_27.0,25
S25.11,25
L0_S12_F330,25
L0_S22_F606,25
S33min_S35min,25
L3_S48_F4198,24
DATE_S26max,24
DATE_S25min,24
BAC100_LAG1_Count_Mult_ResponseMinus1,24
L0_S9_F175,24
L1_S24_F1571,24
L3_S29_F3360,24
L2_S27_F3140,24
CATEGORICAL_Max______3,24
L3_S47_F4153,24
L3_S47_F4158,23
L0_S10_F234,23
S27min_S32min,23
L1_S24_F1685,23
L0_S8_F144,23
L3_S44_F4118,22
L1_S25_F1958,22
L1_S24_F1718,22
DATE_S19max,22
DATE_S44max,22
L1_L1_Missing_Value_Count,22
L3_S40_F3984,22
L1_S24_F1822,22
BAC100_LAG3_Sum_ResponseMinus1,22
L0_S18_F449,22
d_4.0,22
L3_S41_F4026,21
S33min_S36min,21
d_49.0,21
S24.112,21
S24.209,21
L1_S24_F1728,21
FOR100_LAG3_Count_Mult_ResponseMinus1,21
L1_S25_F2176,20
L1_S25_F1973,20
L1_S24_F1808,20
L0_S22_F546,20
L1_S25_F1978,20
L0_S23_F631,19
L1_S24_F1520,19
DATE_S24min,19
L1_S25_F2144,19
L0_S14_F390,19
BAC100_LAG3_Count_Mult_ResponseMinus1,19
L0_S15_F406,19
S24.201,19
L1_S24_F1753,19
L1_S24_F1512,19
DATE_S49max,19
L1_S24_F983,19
BAC165_LAG3_Count_Mult_ResponseMinus1,19
L0_S22_F551,18
L0_S22_F586,18
L0_S10_F274,18
L0_S22_F591,18
DATE_S47max,18
L0_S22_F601,18
L1_S24_F963,18
L3_S41_F4011,18
d_24.311,18
L1_S24_F1581,18
L1_S24_F1824,18
L3_S36_F3918,18
S32min_S30min,18
L1_S25_F2101,17
DATE_S12max,17
L0_S23_F651,17
L1_S25_F2147,17
d_rel_d_32.0,17
S44,17
L3_L3_Missing_Value_Count,17
S24.11,17
S24.102,17
d_37.0,17
L1_S24_F958,16
BAC165_LAG_Sum_ResponseMinus1,16
L3_S29_F3482,16
L0_S21_F492,16
d_33.0,15
L3_S41_F4006,15
L1_S25_F1858,15
L0_S21_F532,15
DATE_S25max,15
L1_S25_F1992,15
L0_S21_F472,14
L3_S48_F4196,14
S24.2,14
L3_S47_F4163,14
L1_S24_F1506,14
L0_S21_F502,14
L0_S12_F336,14
L1_S24_F1814,14
S49,14
BAC165_LAG3_Sum_ResponseMinus1,14
L0_S22_F611,14
L0_S2_F40,14
L0_S16_F426,14
L3_S47_F4138,13
DATE_S50max,13
L1_S25_F2170,13
L1_S25_F2164,13
BAC100_LAG0_Count_Mult_ResponseMinus1,13
L1_S24_F1172,13
L0_S21_F527,12
L0_S23_F659,12
L0_S16_F421,12
L1_Unique_Count,12
d_38.0,12
L3_S34_F3882,12
S25.108,12
S37,11
L1_S25_F1869,11
L1_S24_F948,11
L3_S41_F4016,11
L0_S21_F517,11
L3_S44_F4115,11
L1_S25_F2007,11
L3_S49_F4211,11
S25.106,11
L0_S14_F374,11
S25.205,10
FOR100_LAG_Sum_ResponseMinus1,10
S25.105,10
L1_S25_F1919,10
L0_S10_F239,10
S24.208,10
L0_S23_F619,10
L1_S24_F1567,10
DATE_S48max,10
L1_S24_F1331,10
L3_S40_F3980,10
FOR165_LAG_Sum_ResponseMinus1,10
L0_S12_F338,10
L3_S41_F4014,10
CATEGORICAL_out_L3_S32_F3854_class1,10
S28,10
L1_S24_F1713,10
L0_S23_F663,10
BAC100_LAG_Sum_ResponseMinus1,9
L3_S40_F3986,9
FOR165_LAG2_Sum_ResponseMinus1,9
S24.31,9
L1_S24_F1768,9
L1_S24_F1166,9
L3_S43_F4085,9
d_rel_d_5.0,8
d_rel_d_38.0,8
DATE_S43max,8
d_47.0,8
FOR100_LAG3_Sum_ResponseMinus1,8
d_35.0,8
d_23.0,8
L3_S38_F3952,8
DATE_S51max,8
L3_S41_F4020,8
L0_S12_F344,8
L1_S24_F1820,8
L1_S25_F1892,8
L3_S40_F3982,7
L1_S24_F1836,7
L1_S24_F988,7
FOR165_LAG1_Sum_ResponseMinus1,7
S25.224,7
d_32.0,7
L0_S22_F596,7
d_8.0,7
L1_S25_F2158,7
S32_dest_36.0,7
L1_S25_F2056,7
L1_S24_F1539,7
L0_S2_F56,7
L1_S24_F1647,7
L0_S12_F352,7
L1_S24_F691,6
L1_S24_F1838,6
S24.202,6
S24.203,6
DATE_S40max,6
L1_S24_F1391,6
L1_S25_F1953,6
L3_S43_F4090,6
L1_S24_F1690,6
L1_S24_F1733,6
S24.111,6
L3_S43_F4095,6
L0_S12_F342,6
L1_S24_F1627,6
L1_S25_F2016,6
CATEGORICAL_Max______1,6
L1_S25_F1900,6
L1_S25_F2152,6
d_34.0,6
BAC165_LAG1_Sum_ResponseMinus1,6
L0_S21_F477,5
L1_S25_F2155,5
L1_S25_F2031,5
L1_S24_F1490,5
L1_S25_F2061,5
L1_S25_F1938,5
L1_S25_F2106,5
DATE_S41max,5
DATE_S39max,5
L0_S21_F512,5
L0_S2_F32,5
L1_S24_F829,5
S25.229,5
S26max_S32max,5
S51,5
d_6.0,4
L1_S24_F1366,4
L1_S24_F1202,4
d_rel_d_7.0,4
S31,4
L1_S24_F1197,4
d_rel_d_33.0,4
BAC100_LAG2_Sum_ResponseMinus1,4
d_24.206,4
DATE_S45min,4
S25.225,4
d_19.0,4
S32min_S10min,4
S25.207,4
L1_S25_F2041,4
L1_S24_F1642,4
L1_S24_F700,4
L1_S25_F1855,4
L1_S24_F1748,4
L1_S24_F1834,4
L2_S26_F3125,4
L1_S25_F2051,4
L3_S50_F4243,4
L3_S41_F4004,4
L2_S28_F3248,4
FOR100_LAG2_Sum_ResponseMinus1,4
L1_S24_F810,4
L3_S29_F3488,4
d_7.0,3
L1_S24_F1002,3
L0_S6_F118,3
L1_S24_F1180,3
BAC165_LAG2_Sum_ResponseMinus1,3
L0_S12_F340,3
S25.226,3
L1_S24_F1599,3
S39,3
d_13.0,3
d_rel_d_2.0,3
L0_S23_F627,3
L0_S3_F68,3
L3_S47_F4143,3
d_rel_d_4.0,3
S25.202,3
L1_S24_F1738,3
L1_S24_F1482,3
S24.106,3
S24.206,3
L0_S21_F507,3
FOR100_LAG1_Sum_ResponseMinus1,3
L1_S24_F1122,3
L3_S30_F3734,2
FOR100_LAG0_Sum_ResponseMinus1,2
d_24.201,2
d_24.303,2
d_44.0,2
L0_S3_F92,2
S43,2
L1_S25_F2091,2
L1_S25_F2086,2
BAC100_LAG1_Sum_ResponseMinus1,2
BAC100_LAG0_Sum_ResponseMinus1,2
d_rel_d_8.0,2
d_51.0,2
d_14.0,2
L1_S24_F1240,2
L1_S24_F1303,2
S24.107,2
L1_S24_F1321,2
S25.203,2
L3_S44_F4121,2
L3_S44_F4112,2
S25.206,2
S25.21,2
DATE_S31max,2
S25.218,2
S25.222,2
L3_S43_F4080,2
L1_S25_F1968,2
L1_S24_F1810,2
L1_S24_F733,2
L1_S24_F1293,2
S25.228,1
S25.204,1
L1_S25_F2167,1
d_rel_d_14.0,1
d_rel_d_19.0,1
S25max_S32min,1
d_rel_d_23.0,1
d_rel_d_24.204,1
d_rel_d_30.0,1
L0_S3_F76,1
d_rel_d_37.0,1
d_rel_d_35.0,1
BAC165_LAG0_Sum_ResponseMinus1,1
S32max_S25min,1
d_1.0,1
L0_S20_F461,1
d_rel_d_44.0,1
L1_S24_F1336,1
L1_S24_F1356,1
S24.21,1
L3_S31_F3842,1
FOR165_LAG0_Sum_ResponseMinus1,1
L1_S25_F1877,1
d_2.0,1
S25.208,1
d_24.204,1
L2_S28_F3307,1
d_24.21,1
d_24.304,1
d_24.305,1
L1_S24_F1006,1
d_3.0,1
d_31.0,1
DATE_S28max,1
S25.23,1
d_17.0,1
L1_S24_F1000,1
L0_S9_F205,1
L0_S10_F269,1
L0_S7_F136,1
L1_S24_F814,1
d_16.0,1
d_15.0,1
S25.209,1
d_48.0,1
L1_S25_F2797,1
S25.214,1
