Feature,Gain,Cover,Frequency,Fold,FeatureLine,FeatureStation,FeatureNumber,Type,Categorical,Category
L0_S2_F36,0.00364865,0.000679715,0.004458673,2,0,2,36,F,,Category 3
L3_S30_F3669,0.003553848,8.61824E-05,0.004592769,2,3,30,3669,F,,Category 5
L2_S26_F3113,0.003526622,0.001137077,0.004676579,2,2,26,3113,F,,Category 3
L0_S2_D34,0.003513973,0.001034405,0.003536767,2,0,2,34,D,,Category 3
L3_S30_F3764,0.00348672,0.000226102,0.005313532,2,3,30,3764,F,,Category 5
L3_S29_F3321,0.003467574,6.6137E-05,0.005313532,2,3,29,3321,F,,Category 5
L3_S30_F3504,0.003428586,0.000650584,0.004207245,2,3,30,3504,F,,Category 3
L3_S30_F3509,0.00334512,0.00010037,0.004224006,2,3,30,3509,F,,Category 5
L2_S26_F3036,0.003323489,0.000391992,0.006017533,2,2,26,3036,F,,Category 5
L3_S30_F3819,0.003210755,0.001113095,0.003838482,2,3,30,3819,F,,Category 3
L2_S27_F3199,0.003150994,0.006230234,0.005950485,2,2,27,3199,F,,Category 3
L2_S27_F3166,0.003140837,0.003636196,0.003201529,2,2,27,3166,F,,Category 3
L3_S29_F3318,0.003093271,0.000507101,0.004743626,2,3,29,3318,F,,Category 5
L1_S24_F1298,0.003086218,0.0664948,0.002262861,2,1,24,1298,F,,Category 7
L3_S29_F3436,0.003044244,0.000603235,0.003520005,2,3,29,3436,F,,Category 3
L2_S26_F3073,0.00298868,0.00052721,0.003972577,2,2,26,3073,F,,Category 3
L0_S9_D167,0.002966322,0.000292883,0.004324578,2,0,9,167,D,,Category 5
L3_S30_F3524,0.002930801,0.000119521,0.004089911,2,3,30,3524,F,,Category 5
L0_S2_F60,0.002894548,7.11982E-05,0.00382172,2,0,2,60,F,,Category 5
L3_S30_F3709,0.002879106,0.000127156,0.004207245,2,3,30,3709,F,,Category 5
L0_S11_F282,0.002879059,0.000603501,0.002916576,2,0,11,282,F,,Category 3
L3_S30_F3784,0.002846318,0.000120188,0.003804958,2,3,30,3784,F,,Category 5
L2_S26_F3069,0.002833592,0.000225006,0.005414103,2,2,26,3069,F,,Category 5
L3_S29_F3407,0.002799107,0.002572125,0.002061717,2,3,29,3407,F,,Category 3
L3_S32_F3850,0.002779712,0.000675345,0.00486096,2,3,32,3850,F,,Category 3
L2_S26_F3106,0.00275629,0.000790863,0.004358102,2,2,26,3106,F,,Category 3
L2_S26_F3121,0.002691415,0.000206462,0.004894484,2,2,26,3121,F,,Category 5
L0_S11_F314,0.002654721,0.000366361,0.002447242,2,0,11,314,F,,Category 4
L0_S15_F403,0.002623771,0.000166457,0.002447242,2,0,15,403,F,,Category 4
L3_S30_F3544,0.002535155,0.000300063,0.003520005,2,3,30,3544,F,,Category 5
L0_S12_F348,0.002523287,0.00048982,0.002899814,2,0,12,348,F,,Category 4
L3_S29_F3461,0.002463556,4.51671E-05,0.001190097,2,3,29,3461,F,,Category 4
L3_S30_F3624,0.00241183,0.000203034,0.002933338,2,3,30,3624,F,,Category 4
L3_S30_F3579,0.002402119,8.63904E-05,0.00382172,2,3,30,3579,F,,Category 5
L0_S17_D432,0.002368162,0.000296242,0.002715433,2,0,17,432,D,,Category 4
L0_S19_D454,0.002310148,0.000257158,0.00243048,2,0,19,454,D,,Category 4
L0_S11_D280,0.002306581,0.000543356,0.002229337,2,0,11,280,D,,Category 3
L1_S24_D1576,0.002303426,0.0014422,0.001625907,2,1,24,1576,D,,Category 3
L3_S29_F3476,0.002272314,0.000212923,0.003804958,2,3,29,3476,F,,Category 5
L0_S20_D462,0.002244435,0.000145667,0.001307431,2,0,20,462,D,,Category 4
L0_S11_F286,0.002196487,0.000365915,0.002162289,2,0,11,286,F,,Category 4
L0_S12_F346,0.00219274,0.000499554,0.002765719,2,0,12,346,F,,Category 4
L1_S24_D807,0.002105118,8.36026E-05,0.000720763,2,1,24,807,D,,Category 4
L3_S47_F4158,0.00208616,0.001000054,0.002061717,2,3,47,4158,F,,Category 3
L0_S11_F318,0.002053241,0.000108242,0.002547813,2,0,11,318,F,,Category 4
L3_S34_F3882,0.002031737,0.000603053,0.001491812,2,3,34,3882,F,,Category 3
L3_S32_F3854:T48,0.002031384,0.044972863,0.001642669,2,3,32,3854,F,T48,Category 7
L2_S26_F3047,0.002015955,0.00012459,0.004156959,2,2,26,3047,F,,Category 5
L0_S9_F175,0.001990577,8.92901E-05,0.002547813,2,0,9,175,F,,Category 4
L0_S11_F294,0.001980376,0.000312696,0.002899814,2,0,11,294,F,,Category 4
L0_S13_F354,0.001978855,0.000133432,0.002128765,2,0,13,354,F,,Category 4
L2_S26_F3062,0.001975325,7.40244E-05,0.004073149,2,2,26,3062,F,,Category 5
L0_S16_F426,0.001972854,0.018432413,0.003067433,2,0,16,426,F,,Category 3
L2_S27_F3144,0.001967755,0.001454562,0.003050671,2,2,27,3144,F,,Category 3
L3_S30_F3634,0.001955102,0.000241087,0.002598099,2,3,30,3634,F,,Category 4
L2_S27_F3155,0.001950947,0.000414065,0.002179051,2,2,27,3155,F,,Category 4
L0_S2_F48,0.001930358,0.011606908,0.003017147,2,0,2,48,F,,Category 3
L2_S27_D3130,0.001928592,0.000316491,0.00182705,2,2,27,3130,D,,Category 4
L0_S11_F326,0.001884326,0.000230976,0.002581337,2,0,11,326,F,,Category 4
L0_S10_F254,0.001861871,0.000406022,0.002262861,2,0,10,254,F,,Category 4
L0_S12_F330,0.001842026,0.000347571,0.002531051,2,0,12,330,F,,Category 4
L2_S27_F3210,0.001823781,0.001029531,0.001793527,2,2,27,3210,F,,Category 3
L3_S29_F3357,0.001786155,5.46368E-05,0.002011432,2,3,29,3357,F,,Category 4
L0_S10_D231,0.00172535,0.000309983,0.002128765,2,0,10,231,D,,Category 4
L1_S24_F1812,0.00171303,0.000317434,0.002497528,2,1,24,1812,F,,Category 4
L3_S29_F3433,0.001686234,0.000155218,0.002212575,2,3,29,3433,F,,Category 4
L0_S21_D484,0.001659248,0.000370506,0.001977908,2,0,21,484,D,,Category 4
L2_S27_F3162,0.001653836,0.000181037,0.002313146,2,2,27,3162,F,,Category 4
L0_S11_F302,0.001643168,0.000143338,0.002531051,2,0,11,302,F,,Category 4
L0_S11_F310,0.0016082,0.000241087,0.001676193,2,0,11,310,F,,Category 4
L3_S29_F3430,0.001585971,0.000120141,0.001961146,2,3,29,3430,F,,Category 4
L2_S26_F3051,0.001542875,6.13851E-05,0.002732195,2,2,26,3051,F,,Category 4
L0_S11_F306,0.001517303,7.52674E-05,0.002078479,2,0,11,306,F,,Category 4
L0_S15_F415,0.001515986,6.52352E-05,0.002044955,2,0,15,415,F,,Category 4
L0_S16_D423,0.001489202,9.39374E-05,0.001709717,2,0,16,423,D,,Category 4
L3_S30_F3664,0.001473615,4.87538E-05,0.00234667,2,3,30,3664,F,,Category 4
L1_S24_F1818,0.001472124,5.67236E-05,0.002564575,2,1,24,1818,F,,Category 4
L0_S15_F397,0.001384287,0.000282893,0.002128765,2,0,15,397,F,,Category 4
L3_S45_F4124,0.001377237,0.000895305,0.001340954,2,3,45,4124,F,,Category 3
L3_S47_F4153,0.001375954,0.000220421,0.001240383,2,3,47,4153,F,,Category 4
L3_S41_F4006,0.001375949,0.000816885,0.001324192,2,3,41,4006,F,,Category 3
L0_S18_D437,0.001364261,0.00014082,0.001743241,2,0,18,437,D,,Category 4
L3_S31_D3836,0.001313121,0.00117668,0.001977908,2,3,31,3836,D,,Category 9
L0_S15_D395,0.001305286,0.00041888,0.001290669,2,0,15,395,D,,Category 2
L3_S29_F3488,0.001284631,0.00072725,0.001240383,2,3,29,3488,F,,Category 9
L3_S40_F3984,0.00126293,3.83058E-05,0.001089525,2,3,40,3984,F,,Category 2
L2_S27_F3129,0.001256431,6.05944E-05,0.001659431,2,2,27,3129,F,,Category 2
L3_S40_F3980,0.001250307,0.000235584,0.001273907,2,3,40,3980,F,,Category 2
L0_S12_F332,0.001242297,9.10523E-05,0.001240383,2,0,12,332,F,,Category 2
L0_S11_F322,0.001233442,5.66612E-05,0.001190097,2,0,11,322,F,,Category 2
L0_S16_F421,0.001229431,0.000106238,0.001760003,2,0,16,421,F,,Category 2
L3_S30_F3644,0.001226398,0.000416941,0.001072764,2,3,30,3644,F,,Category 2
L0_S11_F290,0.001202867,2.84672E-05,0.001625907,2,0,11,290,F,,Category 2
L3_S33_F3873,0.001195832,0.000514977,0.000821335,2,3,33,3873,F,,Category 2
L0_S12_F334,0.001184711,0.000268501,0.001206859,2,0,12,334,F,,Category 2
L3_S49_F4211,0.001166033,0.000161425,0.001173335,2,3,49,4211,F,,Category 2
L3_S48_F4196,0.001159628,0.000930055,0.001156573,2,3,48,4196,F,,Category 9
L1_S24_F1207,0.001154824,0.026212044,0.001156573,2,1,24,1207,F,,Category 9
L1_S24_F1808,0.001146967,7.09409E-05,0.003017147,2,1,24,1808,F,,Category 7
L1_S24_F691,0.001143837,0.000674843,0.001357716,2,1,24,691,F,,Category 9
L0_S23_F663,0.001117054,0.000133895,0.001508574,2,0,23,663,F,,Category 2
L3_S36_F3918,0.001112661,1.13856E-05,0.001592383,2,3,36,3918,F,,Category 2
L0_S21_F537,0.001106277,0.014561501,0.001860574,2,0,21,537,F,,Category 9
L3_S36_F3938,0.001097552,0.000919133,0.001257145,2,3,36,3938,F,,Category 9
L3_S30_F3589,0.001092641,0.000129329,0.001642669,2,3,30,3589,F,,Category 2
L3_S30_F3569,0.001084135,4.04176E-05,0.002246099,2,3,30,3569,F,,Category 2
L1_S24_F1822,0.001070397,4.27394E-05,0.002011432,2,1,24,1822,F,,Category 2
L0_S10_F234,0.001053278,7.82736E-05,0.001307431,2,0,10,234,F,,Category 2
L1_S25_D2098,0.001038077,0.00054347,0.001156573,2,1,25,2098,D,,Category 9
L1_S24_D1674,0.001035423,0.000335692,0.00182705,2,1,24,1674,D,,Category 2
L3_S30_F3584,0.001023095,1.33696E-05,0.001676193,2,3,30,3584,F,,Category 2
L1_S24_D1568,0.001019441,4.759E-05,0.000569906,2,1,24,1568,D,,Category 1
L3_S30_F3674,0.000997242,8.22372E-05,0.001072764,2,3,30,3674,F,,Category 2
L2_S27_F3214,0.00098101,7.69523E-05,0.001977908,2,2,27,3214,F,,Category 2
L3_S30_F3689,0.000974216,0.000425364,0.001324192,2,3,30,3689,F,,Category 2
L0_S21_F477,0.0009657,0.000307251,0.001206859,2,0,21,477,F,,Category 2
L0_S12_F336,0.000959985,5.77837E-05,0.000972192,2,0,12,336,F,,Category 2
L0_S22_F566,0.000953152,0.000160194,0.001139811,2,0,22,566,F,,Category 2
L0_S12_F352,0.0009434,0.000650888,0.000636953,2,0,12,352,F,,Category 9
L1_S24_F733,0.000927487,0.001431607,0.00087162,2,1,24,733,F,,Category 9
L3_S35_F3894,0.00092055,1.53662E-05,0.001709717,2,3,35,3894,F,,Category 2
L0_S21_F507,0.000899657,0.00021846,0.00087162,2,0,21,507,F,,Category 2
L1_S24_F1814,0.000895229,2.01881E-05,0.00147505,2,1,24,1814,F,,Category 2
L3_S41_F4008,0.000888522,0.000333119,0.000888382,2,3,41,4008,F,,Category 2
L1_S24_F1824,0.000881943,0.000102395,0.001491812,2,1,24,1824,F,,Category 2
L1_S24_D1566,0.000880574,0.000643818,0.001726479,2,1,24,1566,D,,Category 9
L3_S47_F4138,0.00087489,3.30413E-05,0.000972192,2,3,47,4138,F,,Category 2
L0_S15_F406,0.00087156,0.000950088,0.001123049,2,0,15,406,F,,Category 9
L1_S24_D818,0.000867575,0.001590294,0.001072764,2,1,24,818,D,,Category 9
L3_S49_F4217:T1,0.000867393,0.005896986,0.000888382,2,3,49,4217,F,T1,Category 9
L3_S40_F3982,0.000866286,0.000105177,0.000938668,2,3,40,3982,F,,Category 2
L3_S29_F3360,0.000859262,7.04881E-06,0.001458288,2,3,29,3360,F,,Category 2
L0_S23_F659,0.000849906,9.11975E-05,0.001123049,2,0,23,659,F,,Category 2
L1_S24_D1018,0.000845916,0.000136576,0.000804573,2,1,24,1018,D,,Category 2
L3_S41_F4014,0.000822781,0.000310485,0.000921906,2,3,41,4014,F,,Category 2
L3_S47_F4163,0.000818664,0.0001503,0.000938668,2,3,47,4163,F,,Category 2
L0_S12_F342,0.000794886,0.00012745,0.000687239,2,0,12,342,F,,Category 2
L3_S41_F4018,0.000778061,7.15198E-05,0.000754287,2,3,41,4018,F,,Category 2
L1_S24_D772,0.000770601,0.000303314,0.000787811,2,1,24,772,D,,Category 2
L3_S30_F3564,0.000768412,7.95115E-05,0.001257145,2,3,30,3564,F,,Category 2
L0_S23_F623,0.000733261,7.49028E-05,0.001357716,2,0,23,623,F,,Category 2
L0_S22_D553,0.00072143,1.24038E-05,0.000854858,2,0,22,553,D,,Category 2
L2_S27_F3140,0.000716378,0.000262305,0.001072764,2,2,27,3140,F,,Category 2
L2_S27_F3206,0.000714422,2.55138E-05,0.001005716,2,2,27,3206,F,,Category 2
L2_S27_F3133,0.00070955,0.00028139,0.001089525,2,2,27,3133,F,,Category 2
L3_S29_F3482,0.000691116,4.59824E-05,0.001005716,2,3,29,3482,F,,Category 2
L3_S41_F4016,0.000652251,0.000249813,0.000603429,2,3,41,4016,F,,Category 1
L1_S24_F1816,0.000649603,0.000158304,0.001257145,2,1,24,1816,F,,Category 2
L3_S33_F3867,0.000646993,2.15325E-05,0.000134095,2,3,33,3867,F,,Category 1
L1_S25_F2136,0.000644709,0.000245894,0.000704001,2,1,25,2136,F,,Category 2
L0_S21_F517,0.000640303,2.7566E-05,0.000838097,2,0,21,517,F,,Category 2
L1_S25_F1973,0.000639408,0.0003163,0.000469334,2,1,25,1973,F,,Category 1
L3_S49_D4218,0.000639132,0.000484725,0.000553144,2,3,49,4218,D,,Category 1
L3_S40_F3986,0.000627145,0.00027693,0.000704001,2,3,40,3986,F,,Category 2
L0_S13_D355,0.000625704,0.00015688,0.000402286,2,0,13,355,D,,Category 1
L2_S26_F3125,0.000616305,0.000209949,0.000620191,2,2,26,3125,F,,Category 1
L1_S25_F1892,0.000598725,0.000217495,0.000687239,2,1,25,1892,F,,Category 2
L0_S23_F631,0.000585335,0.000132531,0.000821335,2,0,23,631,F,,Category 2
L1_S25_F2346,0.000579943,0.000437713,0.00051962,2,1,25,2346,F,,Category 1
L0_S23_F627,0.000576537,1.66443E-05,0.000821335,2,0,23,627,F,,Category 2
L3_S41_F4020,0.000573129,5.04694E-05,0.000687239,2,3,41,4020,F,,Category 2
L1_S24_F800,0.000571975,0.000510955,0.000636953,2,1,24,800,F,,Category 1
L3_S50_F4243,0.000560769,3.34681E-05,0.000720763,2,3,50,4243,F,,Category 2
L1_S25_F2161,0.000549139,0.000252474,0.000687239,2,1,25,2161,F,,Category 2
L3_S51_D4255,0.000539696,0.000285428,0.00043581,2,3,51,4255,D,,Category 1
L3_S41_F4026,0.000535353,3.5528E-06,0.000536382,2,3,41,4026,F,,Category 1
L0_S10_F239,0.000532018,1.31836E-05,0.000586668,2,0,10,239,F,,Category 1
L0_S23_F643,0.0005316,7.86225E-05,0.000502858,2,0,23,643,F,,Category 1
L3_S34_F3876,0.000531179,1.45876E-05,0.000402286,2,3,34,3876,F,,Category 1
L3_S32_F3854:T8,0.000527631,0.000138852,0.000821335,2,3,32,3854,F,T8,Category 2
L3_S49_D4208,0.000526944,8.51573E-05,0.000452572,2,3,49,4208,D,,Category 1
L3_S50_D4242,0.000524454,9.43291E-05,0.000452572,2,3,50,4242,D,,Category 1
L3_S35_F3902:T2,0.000522677,0.024338174,0.001273907,2,3,35,3902,F,T2,Category 9
L3_S30_F3684,0.000522244,1.44025E-05,0.000838097,2,3,30,3684,F,,Category 2
L3_S43_F4080,0.000516638,0.000141738,0.000704001,2,3,43,4080,F,,Category 2
L1_S24_F1235,0.000515333,0.011612073,0.000636953,2,1,24,1235,F,,Category 9
L1_S25_D1980,0.000512455,0.000806106,0.000821335,2,1,25,1980,D,,Category 9
L1_S24_F1212,0.000502075,0.000189611,0.000603429,2,1,24,1212,F,,Category 1
L0_S23_D617,0.000483009,0.000136546,0.000603429,2,0,23,617,D,,Category 1
L1_S24_F808,0.000482921,0.000181109,0.000536382,2,1,24,808,F,,Category 1
L0_S23_F651,0.000475606,3.94646E-05,0.00051962,2,0,23,651,F,,Category 1
L1_S24_F1820,0.000475453,1.07706E-05,0.001072764,2,1,24,1820,F,,Category 2
L0_S12_F340,0.000474949,1.98304E-05,0.00051962,2,0,12,340,F,,Category 1
L0_S23_F639,0.000462119,0.000349177,0.000586668,2,0,23,639,F,,Category 1
L3_S30_F3679,0.00046028,0.000155937,0.00051962,2,3,30,3679,F,,Category 1
L1_S25_F2158,0.000459603,5.96962E-05,0.000536382,2,1,25,2158,F,,Category 1
L1_S25_D2329,0.00045869,3.45904E-05,0.000352001,2,1,25,2329,D,,Category 1
L2_S28_F3248,0.000443848,8.18399E-05,0.000335239,2,2,28,3248,F,,Category 1
L1_S25_F2152,0.000439451,0.000112684,0.00043581,2,1,25,2152,F,,Category 1
L3_S45_D4125,0.000435734,0.000185341,0.000352001,2,3,45,4125,D,,Category 1
L0_S12_F344,0.000431731,6.36994E-05,0.000402286,2,0,12,344,F,,Category 1
L3_S44_F4118,0.000426176,0.000261067,0.000452572,2,3,44,4118,F,,Category 1
L1_S24_F1810,0.000414552,3.1196E-05,0.00087162,2,1,24,1810,F,,Category 2
L1_S25_F2176,0.000412141,0.000182209,0.000486096,2,1,25,2176,F,,Category 1
L0_S23_F667,0.000411621,0.000346312,0.000502858,2,0,23,667,F,,Category 1
L1_S25_D2471,0.000402827,0.000238007,0.000452572,2,1,25,2471,D,,Category 1
L0_S2_F32,0.000387464,8.77486E-06,0.000586668,2,0,2,32,F,,Category 1
L1_S25_F2007,0.000384135,9.77175E-05,0.00043581,2,1,25,2007,F,,Category 1
L3_S43_F4095,0.000383061,7.40373E-05,0.000352001,2,3,43,4095,F,,Category 1
L2_S28_F3255,0.000377016,0.000555676,0.000838097,2,2,28,3255,F,,Category 9
L0_S23_F619,0.00037114,5.628E-05,0.000787811,2,0,23,619,F,,Category 2
L3_S35_D3900,0.000368476,0.00026094,0.000318477,2,3,35,3900,D,,Category 1
L1_S25_F2155,0.000368383,0.000243217,0.00043581,2,1,25,2155,F,,Category 1
L3_S41_F4004,0.000355795,0.000262356,0.000402286,2,3,41,4004,F,,Category 1
L3_S43_F4090,0.000351779,9.92507E-05,0.000670477,2,3,43,4090,F,,Category 1
L3_S39_D3966,0.000350749,6.71476E-07,0.000268191,2,3,39,3966,D,,Category 1
L3_S48_F4198,0.000348016,0.000152537,0.000419048,2,3,48,4198,F,,Category 1
L3_S33_F3871,0.000329609,7.90686E-05,0.000301715,2,3,33,3871,F,,Category 1
L0_S9_F205,0.000326795,1.59771E-05,0.000402286,2,0,9,205,F,,Category 1
L3_S43_D4062,0.000315805,9.70253E-05,0.00051962,2,3,43,4062,D,,Category 1
L3_S40_D3981,0.000312699,0.000214774,0.000217905,2,3,40,3981,D,,Category 1
L3_S44_F4121,0.00031236,0.000364564,0.000469334,2,3,44,4121,F,,Category 1
L1_S25_F2086,0.000308592,6.31918E-05,0.000352001,2,1,25,2086,F,,Category 1
L1_S24_D1570,0.000308275,0.00014048,0.000284953,2,1,24,1570,D,,Category 1
L1_S24_F683,0.000306567,8.98416E-05,0.000368762,2,1,24,683,F,,Category 1
L1_S25_F2144,0.000302978,0.007073754,0.000502858,2,1,25,2144,F,,Category 9
L1_S24_F687,0.00030231,0.000453336,0.000368762,2,1,24,687,F,,Category 1
L1_S24_D1457,0.000298143,9.83286E-07,0.000352001,2,1,24,1457,D,,Category 1
L0_S7_F136,0.00029787,3.73048E-06,0.000486096,2,0,7,136,F,,Category 1
L0_S2_F40,0.000296086,2.2528E-06,0.000251429,2,0,2,40,F,,Category 1
L3_S41_F4011,0.000295543,6.42636E-05,0.000352001,2,3,41,4011,F,,Category 1
L1_S25_F1958,0.000294709,2.10176E-05,0.000234667,2,1,25,1958,F,,Category 1
L3_S29_F3317:,0.00029468,1.6116E-06,0.000318477,2,3,29,3317,F,,Category 1
L3_S47_F4143,0.000286639,4.03532E-06,0.000385524,2,3,47,4143,F,,Category 1
L1_S25_F2997,0.000284919,0.000201579,0.000368762,2,1,25,2997,F,,Category 1
L0_S4_D111,0.000281529,4.38528E-05,0.000251429,2,0,4,111,D,,Category 1
L1_S25_F2773,0.000274481,0.000107658,0.000352001,2,1,25,2773,F,,Category 1
L1_S25_F2147,0.000253411,6.05268E-05,0.000284953,2,1,25,2147,F,,Category 1
L1_S25_F1858,0.000252899,3.3248E-05,0.000318477,2,1,25,1858,F,,Category 1
L1_S25_F1968,0.000251255,4.15512E-05,0.000268191,2,1,25,1968,F,,Category 1
L1_S25_F2980,0.000249736,2.1453E-05,0.000335239,2,1,25,2980,F,,Category 1
L1_S25_D1902,0.000245666,0.000129779,0.000251429,2,1,25,1902,D,,Category 1
L1_S24_F1202,0.000241808,0.000208239,0.000234667,2,1,24,1202,F,,Category 1
L3_S48_D4194,0.000241428,7.01581E-05,0.000234667,2,3,48,4194,D,,Category 1
L1_S25_F2925,0.000239549,0.000538628,0.000536382,2,1,25,2925,F,,Category 9
L1_S25_F3009,0.000237887,9.62002E-05,0.000301715,2,1,25,3009,F,,Category 1
L1_S24_D1062,0.000237449,8.8792E-05,0.000234667,2,1,24,1062,D,,Category 1
L3_S44_F4115,0.000236175,1.82945E-06,0.000301715,2,3,44,4115,F,,Category 1
L1_S25_F1885,0.000236133,2.32229E-05,0.000284953,2,1,25,1885,F,,Category 1
L1_S25_F2091,0.000234285,7.09233E-05,0.000167619,2,1,25,2091,F,,Category 1
L3_S35_F3913,0.000233275,3.07282E-05,0.000335239,2,3,35,3913,F,,Category 1
L3_S41_F4023,0.000232086,3.13796E-05,0.000234667,2,3,41,4023,F,,Category 1
L2_S28_F3303,0.000231206,7.28791E-05,0.000268191,2,2,28,3303,F,,Category 1
L1_S25_F2170,0.000228902,1.51916E-05,0.000251429,2,1,25,2170,F,,Category 1
L1_S24_F1250,0.000226965,0.00048472,0.000268191,2,1,24,1250,F,,Category 1
L1_S24_D677,0.000222721,0.000177375,0.000251429,2,1,24,677,D,,Category 1
L1_S25_F2046,0.000220287,0.000194949,0.000335239,2,1,25,2046,F,,Category 1
L1_S24_D909,0.000220098,0.000104936,0.000301715,2,1,24,909,D,,Category 1
L3_S43_F4085,0.000213941,4.24869E-05,0.000335239,2,3,43,4085,F,,Category 1
L0_S23_F655,0.000212213,2.65146E-05,0.000284953,2,0,23,655,F,,Category 1
L1_S25_F2487,0.000207371,4.6985E-05,0.000134095,2,1,25,2487,F,,Category 1
L1_S25_F1978,0.00020563,8.10901E-05,0.000335239,2,1,25,1978,F,,Category 1
L1_S25_F3005,0.000203377,6.58852E-05,0.000268191,2,1,25,3005,F,,Category 1
L1_S25_F2920,0.000195873,5.26163E-05,0.000268191,2,1,25,2920,F,,Category 1
L0_S20_F461,0.000195448,2.46495E-05,0.000134095,2,0,20,461,F,,Category 1
L2_S28_F3259,0.000194628,6.7205E-05,0.000150857,2,2,28,3259,F,,Category 1
L1_S24_D1368,0.000191948,1.51488E-06,0.000419048,2,1,24,1368,D,,Category 1
L1_S25_F1900,0.000189909,1.38564E-05,0.000234667,2,1,25,1900,F,,Category 1
L0_S2_F56,0.000189323,3.53071E-05,0.000201143,2,0,2,56,F,,Category 1
L1_S25_F1997,0.00018851,1.25444E-05,0.000234667,2,1,25,1997,F,,Category 1
L1_S25_F2026,0.000181771,1.32033E-05,0.000284953,2,1,25,2026,F,,Category 1
L1_S25_F2789,0.000181224,0.000440466,0.000402286,2,1,25,2789,F,,Category 1
L2_S26_F3077,0.000181167,0.000192364,0.000167619,2,2,26,3077,F,,Category 1
L1_S24_D1809,0.000177692,6.34896E-05,0.000536382,2,1,24,1809,D,,Category 1
L1_S25_F2164,0.00017228,3.03914E-06,0.000201143,2,1,25,2164,F,,Category 1
L1_S25_F3028,0.000171716,6.02335E-05,0.000284953,2,1,25,3028,F,,Category 1
L1_S25_F2787,0.000168686,0.000364752,0.000251429,2,1,25,2787,F,,Category 1
L1_S25_F2999,0.000165492,3.16801E-05,0.000301715,2,1,25,2999,F,,Category 1
L3_S48_F4193,0.000164617,2.44683E-06,0.000217905,2,3,48,4193,F,,Category 1
L0_S12_F338,0.000161512,3.35958E-05,0.000284953,2,0,12,338,F,,Category 1
L0_S3_F76,0.000160952,1.37162E-06,0.000284953,2,0,3,76,F,,Category 1
L2_S28_F3299,0.000160033,5.36082E-05,0.000134095,2,2,28,3299,F,,Category 1
L1_S25_D2957,0.00015952,0.000145486,0.000284953,2,1,25,2957,D,,Category 1
L3_S29_F3475:,0.000159388,1.91844E-06,0.000234667,2,3,29,3475,F,,Category 1
L1_S25_F2783,0.000159181,3.1271E-06,0.000234667,2,1,25,2783,F,,Category 1
L1_S25_F2036,0.00015575,6.90012E-05,0.000201143,2,1,25,2036,F,,Category 1
L1_S25_F2016,0.000155543,6.4824E-05,0.000234667,2,1,25,2016,F,,Category 1
L1_S25_F3017,0.000155227,4.69297E-06,0.000150857,2,1,25,3017,F,,Category 1
L1_S25_F2081,0.00015379,0.000113198,0.000201143,2,1,25,2081,F,,Category 1
L3_S47_D4140,0.000152474,0.000148163,0.000150857,2,3,47,4140,D,,Category 1
L3_S30_D3726,0.000151088,6.94188E-05,0.000134095,2,3,30,3726,D,,Category 1
L1_S25_F2945,0.000148581,0.000369155,0.000217905,2,1,25,2945,F,,Category 1
L1_S25_F2950,0.000148123,8.23378E-05,0.000150857,2,1,25,2950,F,,Category 1
L3_S44_F4112,0.0001473,6.82374E-07,0.000234667,2,3,44,4112,F,,Category 1
L1_S25_F2995,0.000144896,8.0828E-06,0.000134095,2,1,25,2995,F,,Category 1
L3_S44_D4101,0.000144617,8.69011E-07,0.000251429,2,3,44,4101,D,,Category 1
L1_S25_D2058,0.000143679,0.000145095,0.000167619,2,1,25,2058,D,,Category 1
L0_S8_F144,0.000143612,2.89459E-06,0.000268191,2,0,8,144,F,,Category 1
L1_S25_F2484,0.000142157,1.12393E-05,0.000150857,2,1,25,2484,F,,Category 1
L2_S26_F3055,0.000139404,3.03413E-05,0.000100572,2,2,26,3055,F,,Category 1
L1_S25_F2229:,0.000135899,3.4459E-06,8.38097E-05,2,1,25,2229,F,,Category 1
L1_S25_F2167,0.000134579,5.38316E-05,0.000268191,2,1,25,2167,F,,Category 1
L1_S25_F3007,0.000132081,1.60673E-05,0.000134095,2,1,25,3007,F,,Category 1
L1_S24_F1351,0.000130623,0.000130112,0.000217905,2,1,24,1351,F,,Category 1
L1_S25_F1869,0.000126747,7.1471E-05,0.000335239,2,1,25,1869,F,,Category 1
L3_S35_F3899:T1,0.000125835,0.000770354,0.000134095,2,3,35,3899,F,T1,Category 9
L1_S25_D2505,0.000124653,0.0003373,0.000184381,2,1,25,2505,D,,Category 1
L0_S23_F635,0.000124331,1.46254E-05,0.000268191,2,0,23,635,F,,Category 1
L2_S28_F3233,0.000121832,4.60554E-05,0.000117334,2,2,28,3233,F,,Category 1
L3_S41_F4000,0.000119892,5.99355E-05,0.000150857,2,3,41,4000,F,,Category 1
L1_S25_F2767,0.000119037,6.32925E-05,0.000117334,2,1,25,2767,F,,Category 1
L2_S28_F3222,0.000114955,3.18365E-06,5.02858E-05,2,2,28,3222,F,,Category 1
L2_S28_F3292,0.000114833,1.16518E-05,0.000251429,2,2,28,3292,F,,Category 1
L0_S18_F435,0.00010907,1.12788E-07,6.70477E-05,2,0,18,435,F,,Category 1
L1_S25_D2406,0.000107807,7.20387E-05,0.000234667,2,1,25,2406,D,,Category 1
L3_S41_D3997,0.000102985,0.000120091,0.000117334,2,3,41,3997,D,,Category 1
