Feature,Gain,Cover,Frequency,Fold,FeatureLine,FeatureStation,FeatureNumber,Type,Categorical,Category
L1_S25_F2891,1.62929E-05,6.24861E-08,2.04608E-05,1,1,25,2891,F,,Category 1
L3_S45_D4125,1.6278E-05,1.32359E-08,2.04608E-05,1,3,45,4125,D,,Category 1
L1_S25_F2041,1.5537E-05,1.63134E-08,2.04608E-05,1,1,25,2041,F,,Category 1
L1_S24_F1202,1.54052E-05,2.15693E-07,0.000102304,1,1,24,1202,F,,Category 1
L1_S24_F1225,1.51897E-05,9.06175E-07,0.000102304,1,1,24,1225,F,,Category 1
L3_S30_F3739,1.51695E-05,1.86195E-06,8.18431E-05,1,3,30,3739,F,,Category 1
L1_S24_D1116,1.49125E-05,8.3653E-07,0.000102304,1,1,24,1116,D,,Category 1
L1_S25_F2906,1.4323E-05,1.34222E-06,2.04608E-05,1,1,25,2906,F,,Category 1
L1_S25_F2985,1.40263E-05,2.51565E-07,2.04608E-05,1,1,25,2985,F,,Category 1
L1_S25_F2799,1.28171E-05,1.57715E-06,0.000204608,1,1,25,2799,F,,Category 1
L0_S14_F378,1.22191E-05,1.36862E-08,2.04608E-05,1,0,14,378,F,,Category 1
L1_S25_F2356,1.19231E-05,5.52068E-08,4.09216E-05,1,1,25,2356,F,,Category 1
L1_S24_F1114:T3,1.125E-05,5.06189E-08,4.09216E-05,1,1,24,1114,F,T3,Category 1
L1_S25_F2220,1.10265E-05,5.48901E-06,2.04608E-05,1,1,25,2220,F,,Category 1
L3_S32_F3854:T256,1.07858E-05,2.28874E-06,2.04608E-05,1,3,32,3854,F,T256,Category 1
L1_S25_F2327,1.0126E-05,2.69391E-06,2.04608E-05,1,1,25,2327,F,,Category 1
L1_S24_F1265,9.74766E-06,4.37852E-08,4.09216E-05,1,1,24,1265,F,,Category 1
L1_S25_F2862,8.33086E-06,1.20185E-06,2.04608E-05,1,1,25,2862,F,,Category 1
L1_S25_F2872,8.26334E-06,1.33383E-08,2.04608E-05,1,1,25,2872,F,,Category 1
L1_S25_F2081,8.03536E-06,1.07455E-07,2.04608E-05,1,1,25,2081,F,,Category 1
L1_S24_F1230,6.94555E-06,1.40331E-08,2.04608E-05,1,1,24,1230,F,,Category 1
L1_S25_F1968,6.64314E-06,3.47486E-08,2.04608E-05,1,1,25,1968,F,,Category 1
L1_S25_F2252:T1,6.09886E-06,1.71069E-05,0.000184147,1,1,25,2252,F,T1,Category 1
L1_S24_D1163,4.82415E-06,1.41666E-08,2.04608E-05,1,1,24,1163,D,,Category 1
L1_S25_F2935,4.57814E-06,1.93413E-08,2.04608E-05,1,1,25,2935,F,,Category 1
L1_S25_F2781,3.99495E-06,2.62762E-06,6.13823E-05,1,1,25,2781,F,,Category 1
L1_S24_D702,2.47793E-06,1.30368E-07,2.04608E-05,1,1,24,702,D,,Category 1
L2_S27_F3218,2.15205E-06,2.35467E-06,2.04608E-05,1,2,27,3218,F,,Category 1
