[1]	train-auc:0.508578	test-auc:0.509391 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[46]	train-auc:0.509541	test-auc:0.507737 
[47]	train-auc:0.509541	test-auc:0.507737 
[48]	train-auc:0.509542	test-auc:0.507737 
[49]	train-auc:0.509542	test-auc:0.507738 
[50]	train-auc:0.509542	test-auc:0.507733 
[51]	train-auc:0.509542	test-auc:0.507736 
[52]	train-auc:0.509477	test-auc:0.507628 
[53]	train-auc:0.509521	test-auc:0.507706 
[54]	train-auc:0.509508	test-auc:0.507672 
[55]	train-auc:0.509521	test-auc:0.507706 
[56]	train-auc:0.509543	test-auc:0.507731 
[57]	train-auc:0.509543	test-auc:0.507733 
[58]	train-auc:0.509543	test-auc:0.507732 
[59]	train-auc:0.509542	test-auc:0.507731 
[60]	train-auc:0.509543	test-auc:0.507733 
[61]	train-auc:0.509542	test-auc:0.507733 
[62]	train-auc:0.509542	test-auc:0.507735 
[63]	train-auc:0.509542	test-auc:0.507734 
[64]	train-auc:0.509542	test-auc:0.507732 
[65]	train-auc:0.509542	test-auc:0.507732 
[66]	train-auc:0.509542	test-auc:0.507732 
[67]	train-auc:0.509542	test-auc:0.507732 
[68]	train-auc:0.509525	test-auc:0.507728 
[69]	train-auc:0.509512	test-auc:0.507694 
[70]	train-auc:0.509513	test-auc:0.507693 
[71]	train-auc:0.509657	test-auc:0.507677 
[72]	train-auc:0.509513	test-auc:0.507695 
[73]	train-auc:0.509657	test-auc:0.507678 
[74]	train-auc:0.509657	test-auc:0.507678 
[75]	train-auc:0.509657	test-auc:0.507678 
[76]	train-auc:0.509657	test-auc:0.507678 
[77]	train-auc:0.509657	test-auc:0.507679 
[78]	train-auc:0.509657	test-auc:0.507678 
[79]	train-auc:0.509657	test-auc:0.507678 
[80]	train-auc:0.509656	test-auc:0.507677 
[81]	train-auc:0.509657	test-auc:0.507678 
[82]	train-auc:0.509657	test-auc:0.507678 
[83]	train-auc:0.509657	test-auc:0.507678 
[84]	train-auc:0.509657	test-auc:0.507678 
[85]	train-auc:0.509657	test-auc:0.507678 
[86]	train-auc:0.509657	test-auc:0.507678 
[87]	train-auc:0.509657	test-auc:0.507678 
[88]	train-auc:0.509657	test-auc:0.507678 
[89]	train-auc:0.509657	test-auc:0.507678 
[90]	train-auc:0.509657	test-auc:0.507678 
[91]	train-auc:0.509658	test-auc:0.507679 
[92]	train-auc:0.509656	test-auc:0.507678 
[93]	train-auc:0.509658	test-auc:0.507678 
[94]	train-auc:0.509658	test-auc:0.507679 
[95]	train-auc:0.509657	test-auc:0.507678 
[96]	train-auc:0.509658	test-auc:0.507678 
[97]	train-auc:0.509651	test-auc:0.507674 
[98]	train-auc:0.509657	test-auc:0.507678 
[99]	train-auc:0.509657	test-auc:0.507678 
[100]	train-auc:0.509650	test-auc:0.507676 
[101]	train-auc:0.509650	test-auc:0.507674 
[102]	train-auc:0.509650	test-auc:0.507674 
[103]	train-auc:0.509650	test-auc:0.507675 
[104]	train-auc:0.509650	test-auc:0.507675 
[105]	train-auc:0.509650	test-auc:0.507675 
[106]	train-auc:0.509650	test-auc:0.507675 
[107]	train-auc:0.509650	test-auc:0.507674 
Stopping. Best iteration:
[7]	train-auc:0.509163	test-auc:0.507835

[1]	train-auc:0.509427	test-auc:0.507049 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.509427	test-auc:0.507049 
[3]	train-auc:0.509561	test-auc:0.506957 
[4]	train-auc:0.509562	test-auc:0.506957 
[5]	train-auc:0.509646	test-auc:0.506664 
[6]	train-auc:0.509720	test-auc:0.506637 
[7]	train-auc:0.509721	test-auc:0.506636 
[8]	train-auc:0.509721	test-auc:0.506636 
[9]	train-auc:0.509723	test-auc:0.506638 
[10]	train-auc:0.509773	test-auc:0.506680 
[11]	train-auc:0.509774	test-auc:0.506680 
[12]	train-auc:0.509820	test-auc:0.506719 
[13]	train-auc:0.509891	test-auc:0.506772 
[14]	train-auc:0.509903	test-auc:0.506804 
[15]	train-auc:0.509902	test-auc:0.506805 
[16]	train-auc:0.509902	test-auc:0.506805 
[17]	train-auc:0.509902	test-auc:0.506806 
[18]	train-auc:0.509903	test-auc:0.506810 
[19]	train-auc:0.509903	test-auc:0.506802 
[20]	train-auc:0.509905	test-auc:0.506810 
[21]	train-auc:0.509905	test-auc:0.506809 
[22]	train-auc:0.509905	test-auc:0.506808 
[23]	train-auc:0.509893	test-auc:0.506782 
[24]	train-auc:0.509892	test-auc:0.506773 
[25]	train-auc:0.509891	test-auc:0.506781 
[26]	train-auc:0.509890	test-auc:0.506772 
[27]	train-auc:0.509889	test-auc:0.506764 
[28]	train-auc:0.509882	test-auc:0.506754 
[29]	train-auc:0.509890	test-auc:0.506764 
[30]	train-auc:0.509883	test-auc:0.506759 
[31]	train-auc:0.509882	test-auc:0.506749 
[32]	train-auc:0.509875	test-auc:0.506733 
[33]	train-auc:0.509883	test-auc:0.506740 
[34]	train-auc:0.509875	test-auc:0.506726 
[35]	train-auc:0.509883	test-auc:0.506740 
[36]	train-auc:0.509883	test-auc:0.506738 
[37]	train-auc:0.509883	test-auc:0.506738 
[38]	train-auc:0.509883	test-auc:0.506739 
[39]	train-auc:0.509883	test-auc:0.506739 
[40]	train-auc:0.509884	test-auc:0.506740 
[41]	train-auc:0.509884	test-auc:0.506740 
[42]	train-auc:0.509910	test-auc:0.506753 
[43]	train-auc:0.509910	test-auc:0.506753 
[44]	train-auc:0.509910	test-auc:0.506756 
[45]	train-auc:0.509991	test-auc:0.506597 
[46]	train-auc:0.510012	test-auc:0.506622 
[47]	train-auc:0.509860	test-auc:0.506668 
[48]	train-auc:0.509868	test-auc:0.506685 
[49]	train-auc:0.509868	test-auc:0.506685 
[50]	train-auc:0.509868	test-auc:0.506685 
[51]	train-auc:0.509869	test-auc:0.506685 
[52]	train-auc:0.509869	test-auc:0.506685 
[53]	train-auc:0.509869	test-auc:0.506685 
