Iter_Mean,Iter_Std,AUC_Mean,AUC_Std,MCC_Mean,MCC_Std,Thresh_Mean,Thresh_Std,Detect_Mean,Detect_Std
2.34E1,3.9055089297043E1,0.506216265758222,0.00139218914848611,0.6247610851475,0.0386267532506396,0.00578972278162837,2.20352741550505E-5,1.54608974630021,0.296149564558115
168,2.21791568820819E2,0.507358581699854,0.000895163485079636,0.63019506133768,0.0535687900050934,0.00577673316001892,1.25438480887023E-5,1.51733086680761,0.397284863480749
107,1.36682112948257E2,0.50539133389511,0.00143877328231712,0.62999814196824,0.0597897091328315,0.00578088238835335,2.12544669082856E-5,1.53806532769556,0.424007513746799
1.112E2,1.4285902141622E2,0.508116982123919,0.00183099747383389,0.641489162979701,0.0250347581029222,0.0057821043767035,1.426293043574E-5,1.40819090909091,0.188849988990007
3.32E1,3.65198576119897E1,0.506229556692014,0.00261384018924637,0.539476560021817,0.0306326267732506,0.00578630054369569,1.46884289483649E-5,2.40433298097252,0.378943955490949
1.096E2,9.63031671337968E1,0.506548475130421,0.00264218586829714,0.605831644256996,0.0368219100380437,0.00577773237600923,1.40344795422126E-5,1.70335042283298,0.31698992988158
1.16E1,9.91463564635635,0.504501586448133,0.000979412645368103,0.644451108608035,0.0109518792784118,0.00578900491818786,9.71202683417088E-6,1.37984186046512,0.084673394789356
6.36E1,1.08989907789666E2,0.505100851019552,0.00272680363732688,0.568978127794776,0.0445615414954663,0.00578576643019915,1.5286660706768E-5,2.0744355179704,0.445233675811488
42,3.70675059857013E1,0.503075181925626,0.000792963754403312,0.77178079774381,0.0305201875064528,0.00579725820571184,7.89654556386971E-6,0.67492843551797,0.133374529736807
5.46E1,1.05372197471629E2,0.507695600791492,0.00246441068096902,0.674287499758275,0.0410858084017398,0.00578616727143526,1.4914596837585E-5,1.18405909090909,0.256656672726379
4.16E1,4.26239369368903E1,0.546099161531301,0.00436493759813772,0.257771453549052,0.00597561896870562,0.00547639708966017,5.20062834234187E-5,1.2462982769556E1,0.600775809656972
2.12E1,2.13002347404905E1,0.530372043468149,0.00390114360683823,0.223163402878418,0.00142253151481026,0.00552778709679842,0.000130077994303371,1.66662218816068E1,0.180276250172545
1.314E2,1.93337270074862E2,0.544206625748862,0.00215344293015957,0.248251386234135,0.0111876841491771,0.00543512227013707,2.02426961542906E-5,1.35697404862579E1,1.28612269205997
4.94E1,4.57635225916887E1,0.545031787677116,0.00487925326763139,0.244027764222075,0.00631977705410537,0.0055229895748198,0.000112469092475244,1.40978785412262E1,0.778583310472008
1.14E1,1.07377837564369E1,0.545128741831683,0.00363028417929446,0.249419315929646,0.00567654079677264,0.00558735458180308,8.40999436154175E-5,1.34109453488372E1,0.742192606292816
3.48E1,1.77679486716953E1,0.546964047044023,0.00327640053150551,0.259486644789344,0.0028241209724053,0.00544168911874294,2.97212780529545E-5,1.23264733615222E1,0.21924662484297
8.52E1,1.00268140503352E2,0.539891060194733,0.00493831912811491,0.258606038907888,0.00783301835101879,0.00550829134881496,0.000104148093843,1.23693002114165E1,0.72604558379637
2.64E1,1.22596900450215E1,0.538924507208968,0.00651667947653304,0.29325552180294,0.00769681646532294,0.00554317105561495,1.94866479559206E-5,9.74924746300212,0.635256128350335
