[207]	train-auc:0.502240	test-auc:0.501917 
[208]	train-auc:0.502296	test-auc:0.501964 
[209]	train-auc:0.502296	test-auc:0.501964 
[210]	train-auc:0.502244	test-auc:0.501922 
[211]	train-auc:0.502244	test-auc:0.501922 
[212]	train-auc:0.502296	test-auc:0.501964 
[213]	train-auc:0.502300	test-auc:0.501968 
[214]	train-auc:0.502244	test-auc:0.501922 
[215]	train-auc:0.502296	test-auc:0.501964 
[216]	train-auc:0.502244	test-auc:0.501922 
[217]	train-auc:0.502240	test-auc:0.501917 
[218]	train-auc:0.502300	test-auc:0.501968 
[219]	train-auc:0.502300	test-auc:0.501968 
[220]	train-auc:0.502300	test-auc:0.501968 
[221]	train-auc:0.502244	test-auc:0.501922 
[222]	train-auc:0.502237	test-auc:0.501917 
[223]	train-auc:0.502244	test-auc:0.501922 
[224]	train-auc:0.502244	test-auc:0.501922 
[225]	train-auc:0.502302	test-auc:0.501968 
[226]	train-auc:0.502243	test-auc:0.501922 
[227]	train-auc:0.502243	test-auc:0.501922 
[228]	train-auc:0.502299	test-auc:0.501968 
[229]	train-auc:0.502243	test-auc:0.501922 
[230]	train-auc:0.502299	test-auc:0.501968 
[231]	train-auc:0.502302	test-auc:0.501968 
[232]	train-auc:0.502299	test-auc:0.501968 
[233]	train-auc:0.502243	test-auc:0.501922 
[234]	train-auc:0.502299	test-auc:0.501968 
[235]	train-auc:0.502315	test-auc:0.501998 
[236]	train-auc:0.502315	test-auc:0.501998 
[237]	train-auc:0.502308	test-auc:0.501981 
[238]	train-auc:0.502308	test-auc:0.501981 
[239]	train-auc:0.502299	test-auc:0.501968 
[240]	train-auc:0.502243	test-auc:0.501922 
[241]	train-auc:0.502243	test-auc:0.501922 
[242]	train-auc:0.502243	test-auc:0.501922 
[243]	train-auc:0.502259	test-auc:0.501951 
[244]	train-auc:0.502315	test-auc:0.501998 
[245]	train-auc:0.502315	test-auc:0.501998 
[246]	train-auc:0.502324	test-auc:0.502011 
[247]	train-auc:0.502324	test-auc:0.502011 
[248]	train-auc:0.502324	test-auc:0.502011 
[249]	train-auc:0.502315	test-auc:0.501998 
[250]	train-auc:0.502299	test-auc:0.501968 
[251]	train-auc:0.502259	test-auc:0.501951 
[252]	train-auc:0.502315	test-auc:0.501998 
[253]	train-auc:0.502315	test-auc:0.501998 
[254]	train-auc:0.502315	test-auc:0.501998 
[255]	train-auc:0.502316	test-auc:0.501998 
[256]	train-auc:0.502325	test-auc:0.502011 
[257]	train-auc:0.502324	test-auc:0.502011 
[258]	train-auc:0.502324	test-auc:0.502011 
[259]	train-auc:0.502324	test-auc:0.502011 
[260]	train-auc:0.502325	test-auc:0.502011 
[261]	train-auc:0.502325	test-auc:0.502011 
[262]	train-auc:0.502324	test-auc:0.502011 
[263]	train-auc:0.502325	test-auc:0.502011 
[264]	train-auc:0.502325	test-auc:0.502011 
[265]	train-auc:0.502325	test-auc:0.502011 
[266]	train-auc:0.502325	test-auc:0.502011 
[267]	train-auc:0.502325	test-auc:0.502011 
[268]	train-auc:0.502325	test-auc:0.502011 
[269]	train-auc:0.502329	test-auc:0.502011 
[270]	train-auc:0.502329	test-auc:0.502011 
[271]	train-auc:0.502325	test-auc:0.502011 
[272]	train-auc:0.502325	test-auc:0.502011 
[273]	train-auc:0.502331	test-auc:0.502011 
[274]	train-auc:0.502331	test-auc:0.502011 
[275]	train-auc:0.502366	test-auc:0.501316 
[276]	train-auc:0.502331	test-auc:0.502011 
[277]	train-auc:0.502331	test-auc:0.502011 
[278]	train-auc:0.502331	test-auc:0.502011 
[279]	train-auc:0.502331	test-auc:0.502011 
[280]	train-auc:0.502331	test-auc:0.502011 
[281]	train-auc:0.502331	test-auc:0.502011 
[282]	train-auc:0.502366	test-auc:0.501316 
[283]	train-auc:0.502331	test-auc:0.502011 
[284]	train-auc:0.502366	test-auc:0.501316 
[285]	train-auc:0.502366	test-auc:0.501316 
[286]	train-auc:0.502366	test-auc:0.501316 
[287]	train-auc:0.502366	test-auc:0.501316 
[288]	train-auc:0.502366	test-auc:0.501316 
[289]	train-auc:0.502366	test-auc:0.501316 
[290]	train-auc:0.502366	test-auc:0.501316 
[291]	train-auc:0.502366	test-auc:0.501316 
[292]	train-auc:0.502366	test-auc:0.501316 
[293]	train-auc:0.502366	test-auc:0.501316 
[294]	train-auc:0.502370	test-auc:0.501316 
[295]	train-auc:0.502366	test-auc:0.501316 
[296]	train-auc:0.502366	test-auc:0.501316 
[297]	train-auc:0.502366	test-auc:0.501316 
[298]	train-auc:0.502366	test-auc:0.501316 
[299]	train-auc:0.502366	test-auc:0.501316 
[300]	train-auc:0.502366	test-auc:0.501316 
[301]	train-auc:0.502370	test-auc:0.501316 
[302]	train-auc:0.502366	test-auc:0.501316 
[303]	train-auc:0.502370	test-auc:0.501316 
[304]	train-auc:0.502370	test-auc:0.501316 
[305]	train-auc:0.502371	test-auc:0.501316 
[306]	train-auc:0.502371	test-auc:0.501316 
[307]	train-auc:0.502371	test-auc:0.501316 
[308]	train-auc:0.502371	test-auc:0.501316 
[309]	train-auc:0.502371	test-auc:0.501316 
[310]	train-auc:0.502371	test-auc:0.501316 
[311]	train-auc:0.502371	test-auc:0.501316 
[312]	train-auc:0.502375	test-auc:0.501320 
[313]	train-auc:0.502371	test-auc:0.501316 
[314]	train-auc:0.502375	test-auc:0.501320 
[315]	train-auc:0.502375	test-auc:0.501320 
[316]	train-auc:0.502375	test-auc:0.501320 
[317]	train-auc:0.502375	test-auc:0.501320 
[318]	train-auc:0.502375	test-auc:0.501320 
[319]	train-auc:0.502375	test-auc:0.501320 
[320]	train-auc:0.502375	test-auc:0.501320 
[321]	train-auc:0.502375	test-auc:0.501320 
[322]	train-auc:0.502375	test-auc:0.501320 
[323]	train-auc:0.502375	test-auc:0.501320 
[324]	train-auc:0.502375	test-auc:0.501320 
[325]	train-auc:0.502375	test-auc:0.501320 
[326]	train-auc:0.502375	test-auc:0.501320 
[327]	train-auc:0.502375	test-auc:0.501320 
[328]	train-auc:0.502375	test-auc:0.501320 
[329]	train-auc:0.502375	test-auc:0.501320 
[330]	train-auc:0.502375	test-auc:0.501320 
[331]	train-auc:0.502375	test-auc:0.501320 
[332]	train-auc:0.502375	test-auc:0.501320 
[333]	train-auc:0.502375	test-auc:0.501320 
[334]	train-auc:0.502375	test-auc:0.501320 
[335]	train-auc:0.502375	test-auc:0.501320 
[336]	train-auc:0.502375	test-auc:0.501320 
[337]	train-auc:0.502375	test-auc:0.501320 
[338]	train-auc:0.502375	test-auc:0.501320 
[339]	train-auc:0.502375	test-auc:0.501320 
[340]	train-auc:0.502375	test-auc:0.501320 
[341]	train-auc:0.502375	test-auc:0.501320 
[342]	train-auc:0.502375	test-auc:0.501320 
[343]	train-auc:0.502375	test-auc:0.501320 
[344]	train-auc:0.502375	test-auc:0.501320 
[345]	train-auc:0.502375	test-auc:0.501320 
[346]	train-auc:0.502375	test-auc:0.501320 
Stopping. Best iteration:
[246]	train-auc:0.502324	test-auc:0.502011

[1]	train-auc:0.501876	test-auc:0.500893 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.501876	test-auc:0.500893 
[3]	train-auc:0.501876	test-auc:0.500893 
[4]	train-auc:0.501802	test-auc:0.500762 
[5]	train-auc:0.501967	test-auc:0.500753 
[6]	train-auc:0.501967	test-auc:0.500753 
[7]	train-auc:0.501967	test-auc:0.500753 
[8]	train-auc:0.501967	test-auc:0.500753 
[9]	train-auc:0.501967	test-auc:0.500753 
[10]	train-auc:0.501967	test-auc:0.500753 
[11]	train-auc:0.501967	test-auc:0.500753 
[12]	train-auc:0.501967	test-auc:0.500753 
[13]	train-auc:0.501763	test-auc:0.501231 
[14]	train-auc:0.501763	test-auc:0.501231 
[15]	train-auc:0.501763	test-auc:0.501231 
[16]	train-auc:0.501763	test-auc:0.501231 
[17]	train-auc:0.501763	test-auc:0.501231 
[18]	train-auc:0.501763	test-auc:0.501231 
[19]	train-auc:0.501792	test-auc:0.501286 
[20]	train-auc:0.501792	test-auc:0.501286 
[21]	train-auc:0.501763	test-auc:0.501231 
[22]	train-auc:0.501763	test-auc:0.501231 
[23]	train-auc:0.501792	test-auc:0.501286 
[24]	train-auc:0.501855	test-auc:0.501316 
[25]	train-auc:0.502059	test-auc:0.500838 
[26]	train-auc:0.501877	test-auc:0.501363 
[27]	train-auc:0.501877	test-auc:0.501363 
[28]	train-auc:0.502052	test-auc:0.500830 
[29]	train-auc:0.502059	test-auc:0.500838 
[30]	train-auc:0.502059	test-auc:0.500838 
[31]	train-auc:0.502080	test-auc:0.500846 
[32]	train-auc:0.502080	test-auc:0.500846 
[33]	train-auc:0.502073	test-auc:0.500838 
[34]	train-auc:0.502073	test-auc:0.500838 
[35]	train-auc:0.502073	test-auc:0.500838 
[36]	train-auc:0.502073	test-auc:0.500838 
[37]	train-auc:0.501918	test-auc:0.501380 
[38]	train-auc:0.501918	test-auc:0.501380 
[39]	train-auc:0.502093	test-auc:0.500846 
[40]	train-auc:0.502093	test-auc:0.500846 
[41]	train-auc:0.502093	test-auc:0.500846 
[42]	train-auc:0.502109	test-auc:0.500854 
[43]	train-auc:0.502093	test-auc:0.500847 
[44]	train-auc:0.502104	test-auc:0.500864 
[45]	train-auc:0.502104	test-auc:0.500864 
[46]	train-auc:0.502104	test-auc:0.500863 
[47]	train-auc:0.502104	test-auc:0.500863 
[48]	train-auc:0.502141	test-auc:0.500927 
[49]	train-auc:0.502163	test-auc:0.500935 
[50]	train-auc:0.502163	test-auc:0.500935 
[51]	train-auc:0.502141	test-auc:0.500926 
[52]	train-auc:0.502163	test-auc:0.500935 
[53]	train-auc:0.502174	test-auc:0.500947 
[54]	train-auc:0.502174	test-auc:0.500947 
[55]	train-auc:0.502243	test-auc:0.500994 
[56]	train-auc:0.502220	test-auc:0.500986 
[57]	train-auc:0.502243	test-auc:0.500994 
[58]	train-auc:0.502243	test-auc:0.500994 
[59]	train-auc:0.502220	test-auc:0.500987 
[60]	train-auc:0.502243	test-auc:0.500995 
[61]	train-auc:0.502243	test-auc:0.500995 
[62]	train-auc:0.502220	test-auc:0.500987 
[63]	train-auc:0.502243	test-auc:0.500995 
[64]	train-auc:0.502220	test-auc:0.500987 
[65]	train-auc:0.502220	test-auc:0.500987 
[66]	train-auc:0.502220	test-auc:0.500987 
[67]	train-auc:0.502225	test-auc:0.500987 
[68]	train-auc:0.502220	test-auc:0.500987 
[69]	train-auc:0.502238	test-auc:0.501011 
[70]	train-auc:0.502238	test-auc:0.501011 
[71]	train-auc:0.502243	test-auc:0.500995 
[72]	train-auc:0.502257	test-auc:0.501020 
[73]	train-auc:0.502261	test-auc:0.501019 
[74]	train-auc:0.502261	test-auc:0.501020 
[75]	train-auc:0.502261	test-auc:0.501019 
[76]	train-auc:0.502261	test-auc:0.501020 
[77]	train-auc:0.502261	test-auc:0.501019 
[78]	train-auc:0.502261	test-auc:0.501019 
[79]	train-auc:0.502264	test-auc:0.501019 
[80]	train-auc:0.502261	test-auc:0.501019 
[81]	train-auc:0.502264	test-auc:0.501019 
[82]	train-auc:0.502264	test-auc:0.501019 
[83]	train-auc:0.502264	test-auc:0.501019 
[84]	train-auc:0.502261	test-auc:0.501020 
[85]	train-auc:0.502264	test-auc:0.501019 
[86]	train-auc:0.502264	test-auc:0.501019 
[87]	train-auc:0.502264	test-auc:0.501019 
[88]	train-auc:0.502264	test-auc:0.501020 
[89]	train-auc:0.502264	test-auc:0.501020 
[90]	train-auc:0.502266	test-auc:0.501019 
[91]	train-auc:0.502266	test-auc:0.501024 
[92]	train-auc:0.502266	test-auc:0.501024 
[93]	train-auc:0.502266	test-auc:0.501025 
[94]	train-auc:0.502266	test-auc:0.501025 
[95]	train-auc:0.502266	test-auc:0.501025 
[96]	train-auc:0.502266	test-auc:0.501025 
[97]	train-auc:0.502266	test-auc:0.501025 
[98]	train-auc:0.502266	test-auc:0.501025 
[99]	train-auc:0.502266	test-auc:0.501025 
[100]	train-auc:0.502266	test-auc:0.501025 
[101]	train-auc:0.502266	test-auc:0.501025 
[102]	train-auc:0.502266	test-auc:0.501025 
[103]	train-auc:0.502266	test-auc:0.501025 
[104]	train-auc:0.502266	test-auc:0.501025 
[105]	train-auc:0.502266	test-auc:0.501025 
[106]	train-auc:0.502266	test-auc:0.501025 
[107]	train-auc:0.502266	test-auc:0.501025 
[108]	train-auc:0.502266	test-auc:0.501025 
[109]	train-auc:0.502266	test-auc:0.501025 
[110]	train-auc:0.502266	test-auc:0.501025 
[111]	train-auc:0.502266	test-auc:0.501025 
[112]	train-auc:0.502266	test-auc:0.501025 
[113]	train-auc:0.502266	test-auc:0.501025 
[114]	train-auc:0.502266	test-auc:0.501025 
[115]	train-auc:0.502266	test-auc:0.501025 
[116]	train-auc:0.502266	test-auc:0.501025 
[117]	train-auc:0.502266	test-auc:0.501025 
[118]	train-auc:0.502266	test-auc:0.501025 
[119]	train-auc:0.502266	test-auc:0.501024 
[120]	train-auc:0.502266	test-auc:0.501025 
[121]	train-auc:0.502266	test-auc:0.501024 
[122]	train-auc:0.502266	test-auc:0.501025 
[123]	train-auc:0.502266	test-auc:0.501025 
[124]	train-auc:0.502266	test-auc:0.501025 
[125]	train-auc:0.502266	test-auc:0.501024 
[126]	train-auc:0.502266	test-auc:0.501025 
[127]	train-auc:0.502266	test-auc:0.501025 
[128]	train-auc:0.502266	test-auc:0.501025 
[129]	train-auc:0.502266	test-auc:0.501025 
[130]	train-auc:0.502266	test-auc:0.501025 
[131]	train-auc:0.502266	test-auc:0.501025 
[132]	train-auc:0.502266	test-auc:0.501025 
[133]	train-auc:0.502266	test-auc:0.501025 
[134]	train-auc:0.502266	test-auc:0.501025 
[135]	train-auc:0.502266	test-auc:0.501025 
[136]	train-auc:0.502266	test-auc:0.501025 
[137]	train-auc:0.502266	test-auc:0.501025 
Stopping. Best iteration:
[37]	train-auc:0.501918	test-auc:0.501380

[1]	train-auc:0.501664	test-auc:0.502013 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.501664	test-auc:0.502013 
[3]	train-auc:0.501732	test-auc:0.502351 
[4]	train-auc:0.501746	test-auc:0.502152 
[5]	train-auc:0.501746	test-auc:0.502152 
[6]	train-auc:0.501746	test-auc:0.502152 
[7]	train-auc:0.501756	test-auc:0.502169 
[8]	train-auc:0.501756	test-auc:0.502169 
[9]	train-auc:0.501619	test-auc:0.501491 
[10]	train-auc:0.501781	test-auc:0.501474 
[11]	train-auc:0.501781	test-auc:0.501474 
[12]	train-auc:0.501781	test-auc:0.501474 
[13]	train-auc:0.501781	test-auc:0.501474 
[14]	train-auc:0.501781	test-auc:0.501474 
[15]	train-auc:0.501781	test-auc:0.501474 
[16]	train-auc:0.501602	test-auc:0.501300 
[17]	train-auc:0.501602	test-auc:0.501300 
[18]	train-auc:0.501608	test-auc:0.501300 
[19]	train-auc:0.501608	test-auc:0.501300 
[20]	train-auc:0.501608	test-auc:0.501300 
[21]	train-auc:0.501608	test-auc:0.501300 
[22]	train-auc:0.501608	test-auc:0.501300 
[23]	train-auc:0.501608	test-auc:0.501300 
[24]	train-auc:0.501608	test-auc:0.501300 
[25]	train-auc:0.501612	test-auc:0.501300 
[26]	train-auc:0.501612	test-auc:0.501300 
[27]	train-auc:0.501612	test-auc:0.501300 
[28]	train-auc:0.501612	test-auc:0.501300 
[29]	train-auc:0.501612	test-auc:0.501300 
[30]	train-auc:0.501612	test-auc:0.501300 
[31]	train-auc:0.501612	test-auc:0.501300 
[32]	train-auc:0.501612	test-auc:0.501300 
[33]	train-auc:0.501612	test-auc:0.501300 
[34]	train-auc:0.501612	test-auc:0.501300 
[35]	train-auc:0.501612	test-auc:0.501300 
[36]	train-auc:0.501608	test-auc:0.501300 
[37]	train-auc:0.501608	test-auc:0.501300 
[38]	train-auc:0.501790	test-auc:0.501300 
[39]	train-auc:0.501917	test-auc:0.501449 
[40]	train-auc:0.501943	test-auc:0.501479 
[41]	train-auc:0.501941	test-auc:0.501474 
[42]	train-auc:0.501935	test-auc:0.501474 
[43]	train-auc:0.501937	test-auc:0.501479 
[44]	train-auc:0.501943	test-auc:0.501479 
[45]	train-auc:0.501943	test-auc:0.501479 
[46]	train-auc:0.501943	test-auc:0.501479 
[47]	train-auc:0.501943	test-auc:0.501479 
[48]	train-auc:0.501947	test-auc:0.501479 
[49]	train-auc:0.501943	test-auc:0.501479 
